order_id,date,product,price,qty,zip
1254,04/06/2026,mug,11.36,4,60614
1057,2026-05-30,charger,14.79,3,30303
1150,05/06/2026,mug,5.5,1,10001
1066,05/30/2026,notebook,,1,98101
1114,04/06/2026,webcam,45.59,4,90405
1280,04/22/2026,pen set,,4,30303
1204,04/18/2026,charger,8.41,2,2134
1249,2026-05-15,keyboard,75.04,4,90405
1037,2026-05-19,mug,9.31,2,60614
1177,2026-05-13,mug,10.11,3,90210
1081,2026-04-18,webcam,140.93,5,10001
1237,2026-05-17,monitor,154.27,4,60614
1269,2026-04-06,backpack,41.46,1,30303
1108,05/16/2026,desk lamp,21.63,5,2116
1273,2026-05-21,notebook,8.69,3,98101
1220,05/03/2026,monitor,228.63,4,30303
1003,2026-04-11,keyboard,61.22,3,30303
1080,05/16/2026,monitor,169.09,2,60614
1169,2026-05-04,keyboard,40.71,1,90405
1179,2026-05-10,desk lamp,38.3,5,90210
1091,2026-05-30,keyboard,50.9,2,60614
1090,05/01/2026,keyboard,53.07,1,2116
1193,2026-04-24,webcam,66.17,5,90210
1276,05/14/2026,mug,7.64,3,30303
1074,04/30/2026,headphones,46.25,2,2134
1011,2026-05-18,webcam,80.64,2,90210
1147,2026-05-01,headphones,36.37,5,2134
1102,04/27/2026,desk lamp,21.07,2,10001
1065,2026-05-14,mug,13.34,1,98101
1104,04/27/2026,headphones,52.59,2,10001
1088,04/28/2026,pen set,,2,2134
1014,05/17/2026,charger,18.14,4,98101
1141,2026-05-29,desk lamp,31.2,1,30303
1160,04/09/2026,desk lamp,47.28,3,90210
1164,05/28/2026,headphones,146.46,4,60614
1279,2026-05-10,webcam,72.49,1,10001
1002,05/01/2026,mug,7.16,4,90210
1148,04/14/2026,notebook,7.08,4,30303
1055,2026-04-28,headphones,44.26,2,98101
1168,05/23/2026,notebook,7.57,1,98101
1282,04/21/2026,webcam,43.28,5,10001
1238,05/27/2026,webcam,90.7,3,30303
1288,05/30/2026,monitor,348.68,1,10001
1113,2026-04-27,pen set,15.27,5,98101
1101,2026-05-12,keyboard,,3,2116
1207,2026-04-14,notebook,9.37,4,60614
1138,05/25/2026,notebook,7.2,5,2134
1163,2026-04-12,desk lamp,34.83,4,10001
1060,04/07/2026,keyboard,43.17,5,60614
1199,2026-04-18,charger,,5,30303
1018,05/04/2026,monitor,,4,10001
1243,2026-04-30,monitor,217.65,2,10001
1070,04/26/2026,webcam,42.43,4,90210
1289,2026-05-08,keyboard,43.55,4,10001
1278,04/26/2026,notebook,6.56,4,10001
1170,04/04/2026,monitor,,1,2116
1230,04/02/2026,desk lamp,26.4,3,90405
1258,05/29/2026,desk lamp,16.82,5,60614
1217,2026-05-13,mug,6.94,5,60614
1171,2026-05-13,webcam,32.38,1,98101
1022,05/07/2026,notebook,7.92,3,2134
1231,2026-04-11,keyboard,60.29,2,90210
1264,05/20/2026,keyboard,82.42,4,90405
1246,04/25/2026,desk lamp,13.89,3,10001
1132,05/01/2026,backpack,44.32,3,30303
1262,05/15/2026,keyboard,50.7,1,90405
1188,05/26/2026,mug,10.09,3,98101
1094,04/17/2026,charger,17.17,3,2134
1118,04/15/2026,webcam,114.44,4,60614
1086,04/20/2026,backpack,69.59,1,90405
1287,2026-04-26,headphones,97.24,1,2116
1248,05/25/2026,desk lamp,10.8,2,10001
1111,2026-05-05,charger,28.37,1,2134
1172,04/15/2026,monitor,244.86,2,60614
1084,05/21/2026,desk lamp,16.35,2,98101
1222,04/04/2026,pen set,4.91,3,10001
1024,05/20/2026,webcam,43.72,5,2134
1126,05/07/2026,webcam,69.77,5,10001
1062,05/15/2026,monitor,207.98,2,2116
1244,04/18/2026,desk lamp,23.89,3,2134
1078,05/21/2026,monitor,145.57,3,2134
1099,2026-05-15,charger,13.54,4,90210
1050,05/03/2026,backpack,40.15,5,90210
1125,2026-04-11,mug,13.44,2,60614
1182,04/15/2026,webcam,46.76,1,30303
1259,2026-05-15,webcam,96.74,5,98101
1061,2026-04-21,monitor,193.29,2,2116
1176,05/11/2026,webcam,63.07,4,90210
1197,2026-05-13,pen set,9.62,4,30303
1069,2026-04-18,notebook,2.93,4,60614
1036,04/08/2026,notebook,5.33,1,10001
1040,05/08/2026,pen set,,3,2134
1145,2026-05-19,notebook,4.87,5,2116
1011,2026-05-18,webcam,80.64,2,90210
1228,05/04/2026,backpack,20.92,5,90405
1234,05/06/2026,keyboard,69.74,3,2116
